"Please be mindful when editing!","The person generating the game needs a copy of each APWorld that is to be used for the game. If the APWorld requires a specific ROM to generate, they need that ROM too.","","","","","","","",""
"Headers are locked to prevent auto-sorts from being done","The APWorlds should be placed in the host's Archipelago install in the custom_worlds folder. Then, the host can generate the game by following the instructions here: https://archipelago.gg/tutorial/Archipelago/setup/en#generating-a-game","","","","","","","",""
"If something is missing, add it! Someone will move it later.","Alternate place to get info on APWorlds: https://discord.com/channels/731205301247803413/1343416927871307776","","","","","","","",""
"Do not sort","Please only download APWorlds from trusted sources. You need to run custom code to generate a game, which is a potential security vulnerability if you managed to find a malicious APWorld.","","","","","","","",""
"Game","Status","Where can you get the APWorld and Client?","Notes","","","","","",""
"Pokémon Mystery Dungeon: Explorers of Sky","Stable","https://github.com/CrypticMonkey33/ArchipelagoExplorersOfSky/releases","Setup Guide: https://github.com/CrypticMonkey33/ArchipelagoExplorersOfSky/blob/main/worlds/pmd_eos/docs/setup_en.md
Top screen tracker is prone to causing memory leaks that crash the game and send out items or even goal. Avoid using it longer than necessary.","","","","","",""
"Prodigal","Stable","https://github.com/randomsalience/ProdigalArchipelago/releases/latest","","","","","","",""
"Pseudoregalia","Stable","https://github.com/qwint/pseudoregalia-archipelago/releases/latest","","","","","","",""
"Rabi-Ribi","Stable","https://github.com/tdkollins/Archipelago-Rabi-Ribi/releases","","","","","","",""
"Rain World","Stable","https://github.com/alphappy/ArchipelagoRW/releases","","","","","","",""
"Ratchet & Clank 2: Going Commando","Stable","https://github.com/evilwb/APRac2/releases","Tracker: https://github.com/cloudofdarkhole6/RaC2-poptracker/releases","","","","","",""
"Reventure","Stable","https://github.com/Droppel/ReventureEndingRando","Tracker: https://github.com/fhnnhf/reventure_tracker/releases","","","","","",""
"Rift of the Necrodancer","Stable","https://github.com/studkid/RiftArchipelago/releases/latest","","","","","","",""
"Rift Wizard","Stable","APWorld: https://github.com/TheBigSalarius/Archipelago/releases
Client: https://github.com/TheBigSalarius/RiftWizardArchipelagoMod/releases","Setup Documention: https://github.com/TheBigSalarius/Archipelago/blob/main/worlds/riftwizard/docs/rift-wizard_en.md","","","","","",""
"Rusted Moss","Stable","https://github.com/dgrossmann144/Archipelago/releases/latest","","","","","","",""
"Sentinels of the Multiverse","Stable","https://github.com/Totox00/Archipelago-sotm/releases  
https://github.com/Totox00/ap-sotm-client/tree/dedicated-apworld ","Setup Guide: https://github.com/Totox00/Archipelago-sotm/blob/main/worlds/sotm/docs/setup_en.md","","","","","",""
"Shadow the Hedgehog","Stable","https://github.com/choatix/Archipelago/releases/latest","","","","","","",""
"Simon Tatham's Portable Puzzle Collection","Stable","APWorld: https://github.com/ishanpm/ap-sgtpuzzles-web/releases
Client: https://ishanpm.github.io/ap-sgtpuzzles-web/","Some customization options are still being added, but it's stable and feature-complete as far as checks go.","","","","","",""
"The Simpsons: Hit & Run","Stable","APWorld: https://github.com/nmize1/Archipelago/releases
Client: https://github.com/nmize1/AP-SHARRandomizer/releases/","https://github.com/nmize1/Archipelago/blob/main/worlds/simpsonshitnrun/docs/setup_en.md","","","","","",""
"The Sims 4","Stable","https://github.com/Simsipelago/Archipelago/releases/latest","Setup Guide: https://github.com/itsmisscactus/Archipelago/blob/main/worlds/sims4/docs/setup_en.md","","","","","",""
"Sly Cooper and the Thievius Raccoonus","Stable","https://github.com/hoppel16/ArchipelagoBranchSly1/releases/latest","","","","","","",""
"Sly 2: Band of Thieves","Stable","https://github.com/NikolajDanger/APSly2/releases","","","","","","",""
"Sonic the Hedgehog","Stable","https://github.com/kaithar/Archipelago/releases/latest","Setup Guide: https://github.com/kaithar/Archipelago/blob/sonic1/worlds/sonic1/docs/setup_en.md","","","","","",""
"Sonic Adventure DX","Stable","https://github.com/ClassicSpeed/sadx-classic-randomizer/releases/latest","Setup Guide: https://github.com/ClassicSpeed/Archipelago/blob/sadx_initial_version/worlds/sadx/docs/setup_en.md","","","","","",""
"Sonic Heroes","Stable","https://github.com/Ethicallogic-Archipelago/SonicHeroesArchipelago/releases","","","","","","",""
"Sonic Riders","Stable","https://github.com/Ninjakakes/Archipelago/releases?q=Sonic+Riders&expanded=true","Setup guide is in https://discord.com/channels/731205301247803413/1292128680046235739C:\ProgramData\Archipelago","","","","","",""
"Sonic Rush","Stable","https://github.com/BlastSlimey/SonicRushAP/releases","Setup Guide: https://github.com/BlastSlimey/Archipelago/blob/sonic_rush/worlds/sonic_rush/docs/setup_en.md ","","","","","",""
"SoulBlazer","Stable","https://github.com/Tranquilite0/Archipelago/releases/latest","","","","","","",""
"Spelunker","Stable","Check the future game design channel for the latest setup instructions","https://github.com/ArchipelagoMW/Archipelago/pull/3282","","","","","",""
"Spinball","Stable","APWorld: https://github.com/spineraks-org/ArchipelagoSpinball/releases/latest
Client: https://spineraks-pinball.netlify.app/","","","","","","",""
"Spyro 2: Ripto's Rage","Stable","https://github.com/Uroogla/S2AP/releases","","","","","","",""
"Spyro 3: Year of the Dragon","Stable","https://github.com/Uroogla/S3AP/releases","","","","","","",""
"Stacklands","Stable","https://github.com/JammyGeeza/Stacklands-Randomizer/releases/latest","Playable and currently considered stable for vanilla boards (Mainland, Forest and Island) - requires manual goal trigger (but won't allow goal to be sent if not yet reached)","","","","","",""
"Star Fox 64","Stable","https://github.com/Auztin/AP-Star-Fox-64/releases","","","","","","",""
"Star Wars: Episode 1 Racer","Stable","APWorld: https://github.com/wcolding/SWR_apworld/releases
Client: https://github.com/wcolding/SWR_AP_Client/releases","Setup Guide: https://github.com/wcolding/SWR_apworld/blob/main/README.md","","","","","",""
"Super Cat Planet","Stable","https://github.com/lone01/scp/releases","","","","","","",""
"Super Junkoid","Stable","Check the future game design channel for the latest apworld and mod","","","","","","",""
"System Shock 2","Stable","https://codeberg.org/Partatio/SS2-Apworld","","","","","","",""
"TCG Card Shop Simulator","Stable","https://github.com/FyreDay/Archipelago-TCGCardShopSimulator/releases/latest/","","","","","","",""
"Tetris Attack","Stable","https://github.com/AgStarRay/TetrisAttackAP/releases/latest","","","","","","",""
"Tevi","Stable","APWorld: https://github.com/BlackSoulKnight/Tevi_Archipelago/releases
Client: https://github.com/BlackSoulKnight/Tevi_Randomizer/releases","","","","","","",""
"Toejam & Earl","Stable","https://github.com/IgnisUmbrae/TJE-Archipelago/releases/latest","Playable and completable with lots of extra features. Does not currently support async.
Requires REV 02 ROM (e.g. from Steam version).","","","","","",""
"TOEM: A Photo Adventure","Stable","https://github.com/bbernardoni/Archipelago.TOEM/releases/latest","Setup Guide: https://github.com/bbernardoni/Archipelago/blob/toem/worlds/toem/docs/setup_en.md","","","","","",""
"Touhou Youyoumu ~ Perfect Cherry Blossom","Stable","https://github.com/Nepley/pcb-apworld/releases","Unrated, see the After Dark Discord for the game's channel.","","","","","",""
"Turnip Boy Commits Tax Evasion","Stable","https://github.com/pointfivetee/TurnipBoyRandomizer/releases","","","","","","",""
"Tyrian / Tyrian 2000","Stable","https://github.com/KScl/TyrianArchipelago/releases/latest","Free on GOG: https://www.gog.com/en/game/tyrian_2000 
Setup guide: https://github.com/KScl/TyrianAPWorld/blob/main/docs/setup_en.md","","","","","",""
"Ty The Tasmanian Tiger HD Remaster (PC)","Stable","APWorld: https://github.com/xMcacutt/Archipelago-TyTheTasmanianTiger/releases/latest 
Client: https://github.com/xMcacutt/Ty1AP-Client","Poptracker: https://github.com/FyreDay/Ty1-Poptracker/releases","","","","","",""
"Vampire Survivors","Stable","https://github.com/SWCreeperKing/ArchipelagoSurvivors/releases/","","","","","","",""
"Wario Land 1","Stable","https://github.com/randomcodegen/Archipelago/releases","","","","","","",""
"Watery Words","Stable","https://github.com/spineraks-org/ArchipelagoWateryWords/releases","","","","","","",""
"Wordipelago","Stable","APWorld: https://github.com/ProfDeCube/Archipelago/releases/
Client: https://apworlds.com/wordipelago","Often a slow starter, but gets rolling reasonably well","","","","","",""
"XCOM 2: War of the Chosen","Stable","https://github.com/MaxReinstadler/X2WOTCArchipelago/releases","Roughly 15-20h campaign with default settings, potentially much shorter with alternate goals.","","","","","",""
"Yooka-Laylee","Stable","https://github.com/Awareqwx/Archipelago/releases/latest","Check the future game design channel to see if there's a newer version","","","","","",""
"Yu-Gi-Oh! Dungeon Dice Monsters","Stable","https://github.com/JustinMarshall98/Archipelago/releases","","","","","","",""
"Yu-Gi-Oh! Forbidden Memories","Stable","https://github.com/sg4e/Archipelago/releases/latest","Tracker: https://github.com/sg4e/FMArchipelagoTracker/releases/latest","","","","","",""
"Zelda 2: The Adventure of Link ","Stable","https://github.com/PinkSwitch/Archipelago/releases?q=zelda&expanded=true","","","","","","",""
"ActRaiser","Stable","Check the future game design channel for the latest apworld","","","","","","",""
"Archipeladoku (Sudoku)","Unstable","APWorld: https://galdiuz.github.io/archipeladoku/archipeladoku.apworld 
Client: https://galdiuz.github.io/archipeladoku/","Not the hint game, an actual game with checks","","","","","",""
"Archipela-Go!","Unstable","https://github.com/aki665/react-native-archipelago/releases","Meta AP where you have to walk around in the real world to get checks.","","","","","",""
"Armored Core (PSX)","Unstable","https://github.com/JustinMarshall98/Armored-Core-PSX-Archipelago/releases","Playable! A bit feature light currently - Setup Guide: https://github.com/JustinMarshall98/Armored-Core-PSX-Archipelago/tree/main/docs","","","","","",""
"A Robot Named Fight!","Unstable","Check the future game design channel for the latest apworld","","","","","","",""
"Baldur's Gate 3","Unstable","APWorld: https://github.com/zane31415/ArchipelagoBG3/releases 
Client: https://github.com/zane31415/BG3ArchipelagoMod/releases","See After Dark discord server for discussion channel","","","","","",""
"The Binding of Isaac: Repentance","Unstable","Releases · Cyb3RGER/TBoI-AP-Mod","This version only receieves in-game pedestal items and gives checks upon picking up any pedestal items in any run or defeating bosses
Setup Guide: https://github.com/Cyb3RGER/Archipelago/blob/main/worlds/tboir/docs/setup_en.md","","","","","",""
"The Binding of Isaac: Repentance (Progression Lock)","Unstable","APWorld: https://github.com/NaveTK/Archipelago/releases/ 
Client: https://github.com/NaveTK/the-archipelago-of-isaac/releases ","This version locks access and each available item room classification can only be checked once per floor
Setup Guide: https://github.com/NaveTK/Archipelago/blob/main/worlds/tboir/docs/setup_en.md","","","","","",""
"Blasphemous 2","Unstable","https://discord.com/channels/731205301247803413/1399145913649467524/1399146057794981948","","","","","","",""
"Bloons Tower Defense 6","Unstable","Check the future game design channel for the latest apworld","First version only includes map randomizer, other features to come.
Setup Instructions: https://github.com/GamingInfinite/BloonsArchipelago?tab=readme-ov-file#setup","","","","","",""
"Bomberman 64","Unstable","https://github.com/Happyhappyism/Archipelago/releases?q=%22Bomberman+64+AP%22&expanded=true","","","","","","",""
"Bomberman 64: The Second Attack","Unstable","https://github.com/Happyhappyism/Archipelago/releases?q=Second+Attack&expanded=true","","","","","","",""
"Bomberman Quest","Unstable","https://github.com/Happyhappyism/Archipelago/releases?q=Bomberman+Quest&expanded=true","","","","","","",""
"Borderlands 2","Unstable","https://github.com/EdricY/Bouncy-Loot-God/releases","No logic, read the release notes carefully for issues (Logic has been added in v0.4, read release notes)","","","","","",""
"Brave Fencer Musashi","Unstable","https://github.com/AegeusEvander/Brave-Fencer-Musashi-AP-World/releases","Early alpha, playable, shuffles Binchos and Minkus
Setup Guide: https://github.com/AegeusEvander/Brave-Fencer-Musashi-AP-World/blob/main/docs/setup_en.md","","","","","",""
"Buckshot Roulette","Unstable","https://github.com/asdfwyay/APBuckshot/releases","Likely stable, but testers needed","","","","","",""
"Cassette Beasts","Unstable","https://github.com/sitskin/apCassetteBeasts/releases","Mod Utils from Steam Workshop needed","","","","","",""
"Castlevania: Legacy of Darkness","Unstable","https://github.com/LiquidCat64/LiquidCatipelago/releases","Only Castle Wall and Villa at the moment.","","","","","",""
"Casualties: Unknown (Scav Prototype Demo)","Unstable","https://github.com/Nichologeam/CUAP/releases/","See the After Dark discord for the game's channel, may not be allowed into main until further approval","","","","","",""
"Cat Quest","Unstable","https://github.com/Nikkilites/Archipelago-CatQuest/releases","Early alpha with no settings yet, but it is playable. May contain logic errors","","","","","",""
"Caves of Qud","Unstable","https://github.com/lonesurv1vor/CavesOfQudArchipelagoRandomizer/releases/latest","Setup Guide: https://github.com/lonesurv1vor/CavesOfQudArchipelagoRandomizer?tab=readme-ov-file#installation-and-creating-a-game 
Early alpha - might contain logic and gameplay bugs, but should be fairly playable now ","","","","","",""
"Celeste","Unstable","See it's channel in the Custom section on the discord","Has some generation issues. This is not the Open World one.","","","","","",""
"Chained Echoes","Unstable","APWorld: https://github.com/Samupo/ChainedEchoesAPWorld/releases
Client: https://github.com/Samupo/ChainedEchoesRandomizer/releases","","","","","","",""
"Citadel (Luanti)","Unstable","https://content.luanti.org/packages/Warr1024/citadel_archipelago/","","","","","","",""
"Civilization V","Unstable","https://github.com/battary/Civ-V-AP-World/releases/","This is the old version that only shuffles Technologies, a new one by a different dev is being worked on that is yet to release","","","","","",""
"Clair Obscur Expedition 33","Unstable","APWorld: https://github.com/Demorck/ClairObscur_APWorld/releases 
Client: https://github.com/Demorck/ClairObscurArchipelagoRandomizer/releases ","Not allowed on the main discord due to 18+ age rating. See the After Dark discord for the game's thread.
Tracker: https://github.com/Demorck/ClairObscur-Archipelago-Poptracker","","","","","",""
"corru.observer","Unstable","https://github.com/Adrthegamedev/ArchipelagoCorruObserver/releases","View Setup Guide for instructions","","","","","",""
"CrosswordAP","Unstable","https://github.com/densebamboo/CrosswordAP/releases","Game currently has no logic","","","","","",""
"Cookie Clicker","Unstable","https://github.com/Simik1997/AP_CookieClicker/releases/","Always fails to generate if you set the goal achievement count higher than 19","","","","","",""
"Custom Robo","Unstable","https://github.com/Metaruler/ArchipelagoCR/releases","Setup Guide on GitHub","","","","","",""
"Crypt of the NecroDancer","Unstable","https://github.com/lastingParadox/Archipelago-CotND/releases","Playable, but in an alpha state. Could be buggy!","","","","","",""
"Dark Cloud 1","Unstable","https://github.com/Lizardman175/DC1AP/releases","All dungeons georama are now shuffled, still need to shuffle chests","","","","","",""
"Dark Cloud 2","Unstable","https://github.com/ArsonAssassin/DC2AP/releases","","","","","","",""
"Dark Souls Remastered","Unstable","https://github.com/ArsonAssassin/DSAP/releases","Setup guide: https://discord.com/channels/731205301247803413/1367143578576621670/1367144033025003521
Tracker: https://github.com/routhken/Dark_Souls_Remastered_tracker/releases
0.0.20 is playable but may need admins to send items/locations.","","","","","",""
"Death's Door","Unstable","APWorld: https://github.com/roseasromeo/DeathsDoorAPWorld/releases/latest
Client: https://github.com/Chris-Is-Awesome/DDArchipelagoRandomizer/releases","Fully playable with multiple goals. Entrance and enemy randos are being worked on","","","","","",""
"Delivering Hope","Unstable","https://github.com/StellatedCUBE/Delivering-Hope-Archipelago/releases/latest","Setup Guide: https://archipelago.shinten.moe/games/Delivering%20Hope/setup_en.html 
YAML Creator: https://archipelago.shinten.moe/games/Delivering%20Hope/player-options.html","","","","","",""
"DELTARUNE","Unstable","Check the future game design channel in the discord for the most recent apworlds.","Only up to Chapter 2. Chapters 3 and 4 are being worked on.","","","","","",""
"Devil May Cry 3 (Special Edition)","Unstable","APWorld: https://discord.com/channels/731205301247803413/1255822049163612271/1411968276870729850 
Client Mod: https://github.com/AshIndigo/DMC3ArchipelagoClient/releases/","","","","","","",""
"Digimon World 1","Unstable","https://github.com/ArsonAssassin/DWAP/releases","Very early alpha, expect bugs, crashes, UI issues, etc.
Tracker: https://github.com/ArsonAssassin/DigimonWorldAPTracker/releases 
Setup Guide: github.com/ArsonAssassin/Archipelago.Core/wiki/How-to-start-playing-a-game-using-this-library ","","","","","",""
"Donkey Kong 64","Unstable","https://github.com/2dos/DK64-Randomizer-Release/releases","Stable in multiworlds, may have difficulty generating solo.
Consult the DK64 rando discord for support and the most up-to-date information: https://discord.dk64randomizer.com/
Setup guide: https://github.com/2dos/DK64-Randomizer/wiki/Archipelago-Master-Setup-Guide","","","","","",""
"Donkey Kong Country (Mirrored)","Unstable","https://github.com/TheLX5/Archipelago/releases?q=yrtnuoC&expanded=true","Based on rainbowsprinklez and vervalkon's DKC Mirrored hack 
Early alpha, read the notes in the release for current issues","","","","","",""
"Dredge","Unstable","APWorld: https://github.com/alextric234/ArchipelagoDredge/releases
Client: https://dredgemods.com/mods/archipelago_dredge/ ","Setup Guide","","","","","",""
"Dungeon Clawler","Unstable","https://github.com/agilbert1412/Clawrchipelago/releases","Requires downpatching","","","","","",""
"Dyson Sphere Program","Unstable","APWorld: https://github.com/FHAUKEM/Archipelago-DSP/releases
Client: Github / Thunderstore","","","","","","",""
"The Elder Scrolls IV: Oblivion Remastered","Unstable","APWorld: https://github.com/POD-io/Oblivion-ArchipelagoWorld/releases
Client: https://github.com/POD-io/Oblivion-ArchipelagoMod/releases","Not allowed in main discord. See the After Dark Discord for the game's channel.","","","","","",""
"Enter the Gungeon","Unstable","APWorld: https://github.com/MaoBoulve/ArchipelaGunAPWorld/releases
Client: https://thunderstore.io/c/enter-the-gungeon/p/MaoBoulve/ArchipelaGun_Multiworld_Randomizer/","","","","","","",""
"Everhood 2","Unstable","https://github.com/DeamonHunter/ArchipelagoEverhood2/releases/","","","","","","",""
"Factorio - Space Age Without Space","Unstable","https://discord.com/channels/731205301247803413/1311946326040383589","Mod used: https://mods.factorio.com/mod/SpaceAgeWithoutSpace","","","","","",""
"Factorio w/ Bob's Mods","Unstable","https://github.com/Osiris32-and-a-half/BobFactorioAP/releases/","List of required mods in the future game design thread","","","","","",""
"Fez","Unstable","https://github.com/nhyldmar/fez-ap/releases/latest","Setup guide in README.md. Known bugs and workarounds in the bug tracker: FEZ AP Bug Tracker","","","","","",""
"Final Fantasy 1: Pixel Remaster","Unstable","https://github.com/wildham0/FF1PRAP/releases","","","","","","",""
"Final Fantasy XIII - Lightning Returns","Unstable","https://github.com/Bartz24/ArchipelagoLR/releases","","","","","","",""
"The Forged Curse","Unstable","https://github.com/cheesepak/ap-forged-curse/releases/latest","Currently looking for playtesting and feedback","","","","","",""
"Freddy Fazbear's Pizzeria Simulator","Unstable","Check the future game design channel for the latest apworld and mod","","","","","","",""
"Freedom Planet 2","Unstable","https://github.com/Knuxfan24/Freedom-Planet-2-Archipelago/releases","No longer requires Manual! Setup Instructions in the Readme.md","","","","","",""
"Friday Night Funkin'","Unstable","https://github.com/Z11Coding/Mixtape-Engine-Rework/releases","Playable but is alpha, so expect some bugs, also......LOTS of errors","","","","","",""
"The Grinch","Unstable","https://github.com/MarioSpore/Grinch-AP/releases/","May actually be Stable, testing and confirmation needed","","","","","",""
"Hacknet","Unstable","APWorld: https://github.com/AutumnRivers/Archipelago-Hacknet/releases/
Client: https://github.com/AutumnRivers/HacknetAP/releases/","PointClicker checks don't work properly (but are still obtainable), RAM limits don't apply properly, and some missions do not send checks. 
The latter two issues can be addressed by save reloading, though - allowing the world to be beatable.
One of the checks might not be obtainable because of the vanilla game's weird requirements to spawn the mission.","","","","","",""
"HASTE: Broken Worlds","Unstable","APWorld: https://github.com/WritingHusky/haste_apworld/releases
Client: https://steamcommunity.com/sharedfiles/filedetails/?id=3462307025","","","","","","",""
"Hero Core","Unstable","https://github.com/Minish-Link/HeroCore-Archipelago/releases","","","","","","",""
"Hi-Fi Rush","Unstable","https://github.com/TRPG0/HbkArchipelago/releases/latest","","","","","","",""
"HITMAN: World of Assassination","Unstable","https://github.com/BenDipp/Archipelago/releases","Not allowed on the main discord due to 18+ age rating. See the After Dark discord for the game's thread.","","","","","",""
"holo8","Unstable","https://github.com/KitLemonfoot/ArchipelagoHolo8/releases/","","","","","","",""
"Hololive Treasure Mountain","Unstable","https://github.com/StellatedCUBE/Treasure-Mountain-Archipelago/releases","Setup Guide: https://archipelago.shinten.moe/games/Hololive%20Treasure%20Mountain/setup_en.html
Options Page: https://archipelago.shinten.moe/games/Hololive%20Treasure%20Mountain/player-options.html","","","","","",""
"Huniecam Studio","Unstable","https://github.com/DotsofdarknessArchipelago/Hunie-Cam-Studio-Archipelago/releases","Not allowed on the main discord due to 18+ age rating. See the After Dark discord for the game's channel.","","","","","",""
"HyperRogue","Unstable","https://github.com/rajanb/HyperRogueAP/releases","Only treasure randomized, 10 hyperstones for goal
Dev of linked build stopped devving and allowed a different dev to create a newer bigger implementation","","","","","",""
"I Was A Teenage Exocolonist","Unstable","https://github.com/pamymaf/Exocolonist-AP/releases","Requires Exoloader","","","","","",""
"Jet Island","Unstable","https://github.com/Nullctipus/JetIslandArchipelago/releases/latest","Early Development but playable","","","","","",""
"Junko","Unstable","https://github.com/Ninjakakes/Archipelago/releases/","Not allowed on Main due to being Unrated, see After Dark for the game's thread","","","","","",""
"KeyWe","Unstable","APWorld: https://github.com/xMcacutt/Archipelago-KeyWe/releases
Client: https://github.com/xMcacutt/KeyWe-AP-Client/releases","","","","","","",""
"Kingdom Hearts 358/2 Days","Unstable","Check pins in the future game design channel for the latest apworld","Almost completely broken. Goal does not send and shop checks are not accessible, requiring the host to send location.","","","","","",""
"Kingdom Hearts Dream Drop Distance","Unstable","https://github.com/LuxMake/Archipelago-KHDDD/releases/latest","Setup Guide: https://github.com/LuxMake/Archipelago-KHDDD/blob/main/worlds/khddd/docs/setup.md","","","","","",""
"Kingdom Two Crowns","Unstable","APWorld: https://discord.com/channels/731205301247803413/1316324689911746570
Github: https://github.com/Catalyss/Archipelago-Kingdom2Crown","","","","","","",""
"Kirby Air Ride","Unstable","https://github.com/DeDeDeK/KARchipelago/releases/latest","Early alpha, playable, expect brokenness","","","","","",""
"Left 4 Dead 2","Unstable","https://github.com/yufiievershade/Left-4-Dead-2-Archipelago/releases","VERY EARLY TESTING! .apworld and instructions can be found inside the .zip
Not allowed on Main due to 18+ rating, check its thread on After Dark in #future-game-design","","","","","",""
"The Legend of Heroes: Trails in the Sky the 3rd","Unstable","https://github.com/Archipelago-Trails-in-the-Sky-the-3rd/Archipelago-Trails-in-the-Sky-the-3rd/releases","Playable but extremly early development. ONLY Prologue + Ch1 implemented so far.
Setup guide: https://github.com/Archipelago-Trails-in-the-Sky-the-3rd/Archipelago-Trails-in-the-Sky-the-3rd/blob/main/worlds/tits_the_3rd/docs/setup_en.md","","","","","",""
"The Legend of Zelda: Majora's Mask","Unstable","https://github.com/LittleCube-hax/MMRecompRando/releases","Setup guide: https://github.com/LittleCube-hax/MMRecompRando 
Has some issues with uncollectable checks and duplicating items","","","","","",""
"The Legend of Zelda: Oracle of Ages","Unstable","https://github.com/SenPierre/ArchipelagoOoA/releases ","","","","","","",""
"The Legend of Zelda: Spirit Tracks","Unstable","https://github.com/DayKat/spirit-tracks/releases","","","","","","",""
"Lego Batman: The Video Game","Unstable","APWorld: https://github.com/ZAPaDASH04/LEGO-Batman-APworld/releases/latest
Client: https://github.com/ZAPaDASH04/LEGO-Batman-Archipelago-Mod/releases/latest","","","","","","",""
"Lethal Company","Unstable","GitHub - T0r1nn/APLC: Archipelago integration for Lethal Company","Requires use of Thunderstore, read instructions available on the GitHub. 
Custom content (mod) support requires additional steps found on the mod page or in the GitHub README.","","","","","",""
"Library of Ruina","Unstable","https://github.com/Az-LastPenguin/LORAP/releases","WARNING: NO LOGIC. Be careful using in multiplayer games. Not allowed on the main discord due to 18+ age rating. See the After Dark discord for the game's future game design post
Setup Guide: https://az-lastpenguin.github.io/guide","","","","","",""
"Lies of P","Unstable","https://github.com/Xtruh/LiesOfAP/releases/","","","","","","",""
"Lobotomy Corporation","Unstable","https://github.com/Kli333/LobCorp-AP/releases","Not allowed in main discord. See the After Dark Discord for the game's channel.","","","","","",""
"Mario Kart 64","Unstable","https://github.com/Edsploration/MK64-Archipelago/releases/latest","See its future game design thread for the setup guide","","","","","",""
"Mario Party Advance","Unstable","https://github.com/etherware-novice/candypelago/releases","Unlikely to receive updates","","","","","",""
"MediEvil (1998)","Unstable","https://github.com/riezahughes/MedievilAPWorld/releases","","","","","","",""
"MediEvil 2","Unstable","APWorld: https://github.com/riezahughes/Medievil2APWorld/releases
Client: https://github.com/riezahughes/Medievil2APClient/releases","","","","","","",""
"Mega Man Battle Network 6","Unstable","https://github.com/RischDev/Archipelago/releases","Now compatible with both Gregar and Falzar","","","","","",""
"Mega Man X4","Unstable","https://github.com/KinTheInfinite/Archipelago-MMX4/releases/","Per the github release, ""many known issues but playable""","","","","","",""
"Mega Man X Command Mission","Unstable","https://github.com/themogulAP/ArchipelagoCM/releases/","Recommended to read the info from first release for setup and ROM used","","","","","",""
"Mega Man Zero 3","Unstable","https://github.com/brodieberger/MMZero3Archipelago/releases/","","","","","","",""
"Mercenaries: Playground of Destruction","Unstable","https://github.com/ToxicFrog/mercs-ap/raw/refs/heads/main/release/mercenaries.apworld","Unstable, Source at https://github.com/ToxicFrog/mercs-ap","","","","","",""
"Mindustry","Unstable","https://github.com/JohnMahglass/Archipelago-Mindustry/releases","","","","","","",""
"Minecraft","Unstable","https://github.com/jacobmix/Minecraft_AP_Randomizer/releases/latest","New fork that is updated to work in newer versions of Archipelago.
Listed as unstable for now since it's so new.","","","","","",""
"Minecraft Dig","Unstable","https://github.com/jacobmix/Minecraft_AP_Randomizer/releases/latest","New fork that is updated to work in newer versions of Archipelago.
Listed as unstable for now since it's so new.","","","","","",""
"Monster Hunter World","Unstable","https://github.com/QPL22/MHW_Archipelago/releases","ONLY ICEBORNE HAS LOGIC - Monster Hunter World: Iceborne, late game has also not properly been tested","","","","","",""
"Musipelago","Unstable","https://github.com/tepiloxtl/musipelago","Create APWorlds out of local sound files and listen to music to send checks","","","","","",""
"Nodebuster","Unstable","https://github.com/Emerald836/Emerlads-Nodebuster_AP_Mod/releases","Early alpha with minimal settings. Setup can be found at https://github.com/Emerald836/Emerlads-Nodebuster_AP_Mod 
Progress on individual quests resets when the room port changes, so it is not recommended to use this in an async","","","","","",""
"Noita - Enemysanity","Unstable","https://github.com/madolinn/NoitaArchipelago/releases/latest","Fork from the Noita version in main. The main world dev knows about it and approves of its existence.","","","","","",""
"Nonopelagram","Unstable","APWorld: https://github.com/StefanDucharme/nonogram-archipelago/releases 
Client: https://github.com/StefanDucharme/nonogram-archipelago/releases","","","","","","",""
"Ocarina of Time but it's just Master Quest Water Temple","Unstable","https://github.com/Alchav/Archipelago/releases/tag/ootbijmqwt-v2.1","Has been updated, new link for the apworld","","","","","",""
"Path of Exile","Unstable","https://github.com/stubobis1/Archipelago/releases","`.apworld` contains the client as well as generation logic. Still early in Development. (Looking for dev help!) 
This is not allowed on the main discord, See the After Dark discord for conversations / bug reports.
The poptracker (highly recommended) is here: https://github.com/stubobis1/PathOfExilePoptracker/releases/latest","","","","","",""
"PEAK","Unstable","https://github.com/Mickemoose/peak-archipelago/releases/latest","","","","","","",""
"Persona 5 Royal","Unstable","https://github.com/Daphoa/ArchipelagoP5RMod/releases/","Currently only up to the Kamoshida boss fight. Check the discord thread for more details.","","","","","",""
"Phantasy Star II","Unstable","https://github.com/lagdotcom/Archipelago/releases?q=Phantasy+Star+II&expanded=true","","","","","","",""
"Phoenotopia: Awakening","Unstable","https://github.com/Amphyros/Phoenotopia-Awakening-AP-client/releases","Only a set of items in Panselo, Doki Forest and Anuri Temple are randomized, testing and thread discussion appreciated!","","","","","",""
"Pikmin 1","Unstable","https://github.com/Poke714/Archipelago/releases/latest","","","","","","",""
"Pikmin 2","Unstable","https://github.com/chpas0/Pikmin2Archipelago/releases","It is still in development, so there will likely be bugs
Setup Guide: https://github.com/chpas0/Pikmin2Archipelago/blob/main/docs/setup_en.md","","","","","",""
"Piranesi Restoration Project (Luanti)","Unstable","https://content.luanti.org/packages/Warr1024/piranesi_archipelago/","","","","","","",""
"The Planet Crafter","Unstable","APWorld: https://github.com/Hawkrex/Archipelago-ThePlanetCrafter/releases
Client: https://github.com/Hawkrex/TPCA/releases","WARNING: Pre-Release","","","","","",""
"Plok","Unstable","https://github.com/Happyhappyism/Archipelago/releases/tag/plokap","","","","","","",""
