Archipelago Version 0.6.5  -  Seed: 1

Filling Algorithm:               balanced
Players:                         1
AP-3-674: progressive-stronger-explosives
AP-1-330: progressive-train-network
AP-5-599: progressive-speed-module
AP-6-406: progressive-processing
AP-5-298: progressive-follower-robot-count
AP-4-527: progressive-rocketry
AP-6-800: progressive-productivity-module
AP-4-927: progressive-armor
AP-1-158: progressive-armor
AP-6-321: progressive-laser-shooting-speed
AP-5-356: progressive-engine
AP-1-934: progressive-worker-robots-speed
AP-4-649: logistic-system
AP-1-108: progressive-inserter
AP-5-953: progressive-science-pack
AP-2-255: progressive-advanced-material-processing
AP-3-106: progressive-fluid-handling
AP-2-794: progressive-worker-robots-speed
AP-6-070: progressive-stronger-explosives
AP-5-998: progressive-personal-roboport-equipment
AP-5-075: progressive-inserter
AP-1-031: progressive-automation
AP-3-043: progressive-follower
AP-1-653: plastics
AP-1-997: progressive-physical-projectile-damage
AP-6-096: progressive-rocketry
AP-1-194: night-vision-equipment
AP-2-491: progressive-laser-weapons-damage
AP-3-794: oil-gathering
AP-6-684: progressive-efficiency-module
AP-2-338: progressive-electric-energy-distribution
AP-6-685: construction-robotics
AP-2-763: steel-axe
AP-1-499: electric-energy-accumulators
AP-2-569: uranium-ammo
Rocket Launch: Victory
Automate automation-science-pack: Automated automation-science-pack
Automate chemical-science-pack: Automated chemical-science-pack
Automate logistic-science-pack: Automated logistic-science-pack
Automate military-science-pack: Automated military-science-pack
Automate production-science-pack: Automated production-science-pack
Automate utility-science-pack: Automated utility-science-pack

Playthrough:

0: {

}
1: {
  Automate automation-science-pack: Automated automation-science-pack
  Automate chemical-science-pack: Automated chemical-science-pack
  Automate logistic-science-pack: Automated logistic-science-pack
  Automate military-science-pack: Automated military-science-pack
  Automate production-science-pack: Automated production-science-pack
  Automate utility-science-pack: Automated utility-science-pack
}
2: {
  AP-1-031: progressive-automation
  AP-1-194: night-vision-equipment
  AP-1-195: progressive-advanced-material-processing
  AP-1-211: robotics
  AP-1-330: progressive-train-network
  AP-1-475: processing-unit
  AP-1-494: progressive-train-network
  AP-1-633: progressive-science-pack
  AP-1-653: plastics
  AP-1-711: progressive-military
  AP-1-798: progressive-processing
  AP-1-954: progressive-science-pack
  AP-1-983: progressive-engine
  AP-2-255: progressive-advanced-material-processing
  AP-2-269: progressive-flamethrower
  AP-2-338: progressive-electric-energy-distribution
  AP-2-469: concrete
  AP-2-473: low-density-structure
  AP-2-502: circuit-network
  AP-2-585: progressive-flamethrower
  AP-2-634: progressive-military
  AP-2-652: progressive-flamethrower
  AP-2-683: advanced-circuit
  AP-2-784: progressive-wall
  AP-3-063: progressive-train-network
  AP-3-210: progressive-train-network
  AP-3-240: progressive-processing
  AP-3-318: progressive-processing
  AP-3-537: progressive-automation
  AP-3-719: progressive-train-network
  AP-3-733: progressive-processing
  AP-3-794: oil-gathering
  AP-3-926: progressive-science-pack
  AP-3-974: progressive-flamethrower
  AP-4-013: battery
  AP-4-024: progressive-flamethrower
  AP-4-304: progressive-processing
  AP-4-350: progressive-military
  AP-4-409: progressive-productivity-module
  AP-4-431: progressive-processing
  AP-4-499: progressive-processing
  AP-4-678: progressive-wall
  AP-4-849: progressive-productivity-module
  AP-4-972: progressive-science-pack
  AP-5-180: progressive-train-network
  AP-5-356: progressive-engine
  AP-5-734: progressive-flamethrower
  AP-5-755: progressive-train-network
  AP-5-844: lubricant
  AP-5-934: progressive-military
  AP-5-953: progressive-science-pack
  AP-6-092: progressive-flamethrower
  AP-6-117: progressive-train-network
  AP-6-201: progressive-train-network
  AP-6-269: progressive-electric-energy-distribution
  AP-6-406: progressive-processing
  AP-6-676: progressive-automation
  AP-6-800: progressive-productivity-module
  AP-6-946: rocket-silo
}
3: {
  Rocket Launch: Victory
}
